File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,"CallbackPosition(GLFWwindow *window, int xpos, int ypos)",6,6,4,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,"CallbackSize(GLFWwindow *window, int width, int height)",13,12,8,1,1,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,"CallbackFrame(GLFWwindow *window, int width, int height)",3,2,2,0,0,0,1,1,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,"VkCallbackDebug(VkDebugReportFlagsEXT flags, VkDebugReportObjectTypeEXT objType, uint64_t obj, size_t location, int32_t code, const char *layerPrefix, const char *msg, void *userData)",3,3,3,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,"Display::FvkCreateDebugReportCallbackEXT(VkInstance instance, const VkDebugReportCallbackCreateInfoEXT *pCreateInfo, const VkAllocationCallbacks *pAllocator, VkDebugReportCallbackEXT *pCallback)",8,7,5,3,1,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,"Display::FvkDestroyDebugReportCallbackEXT(VkInstance instance, VkDebugReportCallbackEXT callback, const VkAllocationCallbacks *pAllocator)",7,6,4,1,1,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,Display::vkErrorCheck(VkResult result),62,61,39,20,1,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,Display::Display(),9,9,9,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,Display::~Display(),17,9,9,0,4,0,4,20,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,Display::Update(),6,3,3,0,1,0,2,18,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,Display::Screenshot(),2,1,1,0,0,0,1,1,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,"Display::SetWindowSize(const int &width, const int &height)",5,5,5,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,Display::SetTitle(const std::string &title),3,3,3,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,Display::SetIcon(const std::string &icon),27,22,16,2,4,0,1,8,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,Display::SetFullscreen(const bool &fullscreen),25,22,16,2,3,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,Display::FindQueueFamilies(VkPhysicalDevice device),34,25,17,6,8,0,1,7,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,"Display::MemoryTypeIndex(uint32_t typeBits, VkFlags properties)",15,13,7,5,2,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,Display::CreateGlfwWindow(),62,39,31,4,12,5,11,85,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,Display::SetupLayers(),31,25,15,6,5,0,1,4,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,Display::SetupExtensions(),13,9,7,1,3,0,1,4,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,Display::CreateInstance(),28,23,19,1,4,0,1,4,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,Display::SetupDebugCallback(),17,9,7,1,1,0,7,18,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,Display::CreateSurface(),3,2,2,0,0,0,1,4,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,Display::PickPhysicalDevice(),55,40,28,5,11,0,4,32,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,Display::CreateLogicalDevice(),44,34,33,2,8,0,2,9,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,Display::IsDeviceSuitable(VkPhysicalDevice device),46,30,25,4,13,0,3,14,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Joysticks.cpp,Joysticks::Joysticks(),6,6,4,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Joysticks.cpp,Joysticks::~Joysticks(),7,6,4,1,1,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Joysticks.cpp,Joysticks::Update(),34,30,20,4,3,0,1,8,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Joysticks.cpp,"Joysticks::GetAxis(const int &id, const int &axis) const",7,6,4,3,1,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Joysticks.cpp,"Joysticks::GetButton(const int &id, const int &button) const",7,6,4,3,1,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Keyboard.cpp,"CallbackKey(GLFWwindow *window, int key, int scancode, int action, int mods)",11,9,5,1,1,0,1,4,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Keyboard.cpp,"CallbackChar(GLFWwindow *window, unsigned int codepoint)",2,2,2,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Keyboard.cpp,Keyboard::Keyboard(),10,7,5,1,1,0,2,13,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Keyboard.cpp,Keyboard::~Keyboard(),2,2,2,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Keyboard.cpp,Keyboard::Update(),1,1,1,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Keyboard.cpp,Keyboard::GetKey(const int &key) const,7,6,4,3,1,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Keyboard.cpp,Keyboard::GetChar() const,2,2,2,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Mouse.cpp,"CallbackScroll(GLFWwindow *window, double xoffset, double yoffset)",2,2,2,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Mouse.cpp,"CallbackMouseButton(GLFWwindow *window, int button, int action, int mods)",2,2,2,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Mouse.cpp,"CallbackCursorPos(GLFWwindow *window, double xpos, double ypos)",3,3,3,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Mouse.cpp,"CallbackCursorEnter(GLFWwindow *window, int entered)",2,2,2,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Mouse.cpp,Mouse::Mouse(),12,9,7,1,1,0,2,13,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Mouse.cpp,Mouse::~Mouse(),2,2,2,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Mouse.cpp,Mouse::Update(),24,16,12,2,4,0,4,25,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Mouse.cpp,Mouse::SetCustomMouse(const std::string &customMouse),25,20,16,2,4,0,1,4,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Mouse.cpp,Mouse::SetCursorHidden(const bool &disabled),12,10,6,2,2,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Mouse.cpp,Mouse::GetButton(const int &button) const,7,6,4,3,1,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Mouse.cpp,"Mouse::SetPosition(const float &cursorX, const float &cursorY)",2,2,2,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\engine\Engine.cpp,Engine::Engine(),2,2,2,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\engine\Engine.cpp,Engine::~Engine(),2,2,2,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\engine\Engine.cpp,Engine::SetUpdater(IUpdater *updater),3,3,3,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\engine\Engine.cpp,Engine::Run() const,5,5,3,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\engine\Engine.cpp,Engine::RequestClose(const bool &error),8,6,4,1,1,0,1,8,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\entities\Entity.cpp,"Entity::Entity(ISpatialStructure<Entity*> *structure, const Vector3 &position, const Vector3 &rotation)",5,5,3,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\entities\Entity.cpp,Entity::~Entity(),12,9,7,1,3,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\entities\Entity.cpp,Entity::Update(),5,5,3,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\entities\Entity.cpp,Entity::MoveStructure(ISpatialStructure<Entity*> *structure),4,4,4,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\entities\Entity.cpp,Entity::AddComponent(IComponent *component),3,3,3,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\entities\Entity.cpp,Entity::RemoveComponent(IComponent *component),11,11,7,2,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\entities\Entity.cpp,Entity::GetComponent(),12,10,6,4,2,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\entities\Entity.cpp,Entity::GetCollider(),2,2,2,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\entities\Entity.cpp,Entity::Remove(),3,3,3,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\entities\components\ComponentAlpha.cpp,ComponentAlpha::ComponentAlpha(const float &alpha),1,1,1,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\entities\components\ComponentAlpha.cpp,ComponentAlpha::~ComponentAlpha(),1,1,1,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\entities\components\ComponentAlpha.cpp,ComponentAlpha::Update(),1,1,1,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\entities\components\ComponentAlpha.cpp,ComponentAlpha::Render(EntityRender *render),14,14,6,2,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\EventChange.cpp,m_onEvent(onEvent),1,1,1,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\EventChange.cpp,EventChange<t>::EventTriggered(),11,9,7,3,2,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\EventChange.cpp,EventChange<t>::OnEvent(),2,2,2,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\Events.cpp,Events::Events(),1,1,1,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\Events.cpp,Events::~Events(),7,6,4,1,1,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\Events.cpp,Events::Update(),15,14,8,3,1,1,0,1,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\Events.cpp,Events::AddEvent(IEvent *event) const,2,2,2,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\Events.cpp,Events::RemoveEvent(IEvent *event) const,9,9,5,2,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\EventStandard.cpp,"EventStandard::EventStandard(const bool &repeat, const std::function<bool()> &triggered, const std::function<void()> &onEvent)",1,1,1,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\EventStandard.cpp,"EventStandard::EventStandard(const std::function<bool()> &triggered, const std::function<void()> &onEvent)",4,4,4,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\EventStandard.cpp,EventStandard::EventTriggered(),2,2,2,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\EventStandard.cpp,EventStandard::OnEvent(),2,2,2,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\EventTime.cpp,"EventTime::EventTime(const float &interval, const bool &repeat, const std::function<void()> &onEvent)",1,1,1,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\EventTime.cpp,EventTime::~EventTime(),2,2,2,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\EventTime.cpp,EventTime::EventTriggered(),8,7,5,3,1,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\EventTime.cpp,EventTime::OnEvent(),2,2,2,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fbos\Fbo.cpp,"Fbo::Fbo(const int &width, const int &height, const DepthBuffer &depthBufferType, const bool &useColourBuffer, const int &attachments, const bool &linearFiltering, const bool &wrapTextures, const bool &clampEdge, const bool &alphaChannel, const bool &antialiased, const int &samples)",27,23,21,0,4,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fbos\Fbo.cpp,"Fbo::Fbo(const bool &fitToScreen, const float &sizeScalar, const DepthBuffer &depthBufferType, const bool &useColourBuffer, const int &attachments, const bool &linearFiltering, const bool &wrapTextures, const bool &clampEdge, const bool &alphaChannel, const bool &antialiased, const int &samples)",27,23,21,0,4,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fbos\Fbo.cpp,Fbo::~Fbo(),7,6,4,0,1,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fbos\Fbo.cpp,Fbo::BindFrameBuffer(),7,7,5,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fbos\Fbo.cpp,Fbo::UnbindFrameBuffer(),5,5,3,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fbos\Fbo.cpp,Fbo::UpdateSize(),30,22,16,3,5,0,3,44,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fbos\Fbo.cpp,Fbo::BlitToScreen(),8,8,7,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fbos\Fbo.cpp,Fbo::SetSamples(const int samples),9,7,5,1,1,0,1,17,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fbos\Fbo.cpp,Fbo::SetSizeScalar(const float &sizeScalar),9,8,6,1,1,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fbos\Fbo.cpp,"Fbo::SetSize(const int &width, const int &height)",10,9,7,1,1,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fbos\Fbo.cpp,"Fbo::ResolveFBO(Fbo *source, Fbo *output)",12,10,6,2,1,0,1,37,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fbos\Fbo.cpp,"Fbo::ResolveFBO(Fbo *source, const int readBuffer, const int drawBuffer, Fbo *output)",13,11,10,0,2,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fbos\Fbo.cpp,Fbo::Initialize(),54,48,23,6,6,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fbos\Fbo.cpp,Fbo::DetermineDrawBuffers(),4,4,2,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fbos\Fbo.cpp,Fbo::LimitFBOSize(),9,7,5,0,2,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fbos\Fbo.cpp,Fbo::CreateTextureAttachment(const int attachment),16,14,10,1,2,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fbos\Fbo.cpp,Fbo::CreateDepthBufferAttachment(),16,14,8,1,2,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fbos\Fbo.cpp,Fbo::CreateDepthTextureAttachment(),9,9,7,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fbos\Fbo.cpp,Fbo::AttachMultisampleColourBuffer(const int attachment),7,7,5,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fbos\Fbo.cpp,Fbo::Clear(),8,8,6,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Character.cpp,"Character::Character(const int &id, const double &textureCoordX, const double &textureCoordY, const double &texureSizeX, const double &texureSizeY, const double &offsetX, const double &offsetY, const double &sizeX, const double &sizeY, const double &advanceX)",1,1,1,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Character.cpp,Character::~Character(),1,1,1,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\FontType.cpp,"FontType::FontType(const std::string &textureFile, const std::string &fontFile)",1,1,1,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\FontType.cpp,FontType::~FontType(),3,3,3,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Line.cpp,"Line::Line(const double &spaceWidth, const double &maxLength)",1,1,1,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Line.cpp,Line::~Line(),1,1,1,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Line.cpp,Line::AddWord(Word word),12,10,8,3,2,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Metafile.cpp,Metafile::Metafile(const std::string &file),21,19,11,2,2,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Metafile.cpp,Metafile::~Metafile(),5,4,4,0,1,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Metafile.cpp,Metafile::ProcessNextLine(const std::string &line),13,11,7,2,2,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Metafile.cpp,Metafile::LoadPaddingData(),8,7,5,1,1,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Metafile.cpp,Metafile::LoadLineSizes(),5,5,5,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Metafile.cpp,Metafile::LoadCharacterData(),7,6,4,1,1,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Metafile.cpp,Metafile::LoadCharacter(),27,23,19,4,4,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Metafile.cpp,Metafile::GetValueOfVariable(const std::string &variable),2,2,2,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Metafile.cpp,Metafile::GetValuesOfVariable(const std::string &variable),13,10,8,2,3,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Metafile.cpp,Metafile::GetCharacter(const int &ascii),9,7,5,3,2,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\RendererFonts.cpp,RendererFonts::RendererFonts(),1,1,1,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\RendererFonts.cpp,RendererFonts::~RendererFonts(),2,2,2,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\RendererFonts.cpp,"RendererFonts::Render(const Vector4 &clipPlane, const ICamera &camera)",14,11,7,2,3,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\RendererFonts.cpp,"RendererFonts::PrepareRendering(const Vector4 &clipPlane, const ICamera &camera)",13,8,6,0,2,0,3,13,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\RendererFonts.cpp,RendererFonts::RenderText(Text *object),35,24,17,1,6,0,5,21,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\RendererFonts.cpp,RendererFonts::EndRendering(),5,4,2,0,0,0,1,3,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Text.cpp,"Text::Text(UiObject *parent, const Vector2 &position, const std::string &text, const float &fontSize, FontType *fonttype, const float &maxLineLength, const UiAlign &align)",4,4,4,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Text.cpp,Text::~Text(),8,6,6,0,2,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Text.cpp,Text::UpdateObject(),25,22,15,5,3,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Text.cpp,Text::LoadText(Text *object),12,9,9,0,1,0,2,8,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Text.cpp,Text::CreateStructure(Text *object),38,31,21,6,7,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Text.cpp,"Text::CompleteStructure(std::vector<Line> &lines, Line &currentLine, const Word &currentWord, Text *object)",11,9,7,1,2,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Text.cpp,"Text::CreateQuadVertices(Text *object, std::vector<Line> lines, std::vector<float> &vertices, std::vector<float> &textures)",38,34,22,8,4,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Text.cpp,"Text::AddVerticesForCharacter(const double &cursorX, const double &cursorY, const Character &character, std::vector<float> &vertices)",6,6,6,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Text.cpp,"Text::AddVertices(const double &x, const double &y, const double &maxX, const double &maxY, std::vector<float> &vertices)",19,19,19,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Text.cpp,"Text::AddTextures(const double &x, const double &y, const double &maxX, const double &maxY, std::vector<float> &textures)",13,13,13,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Text.cpp,Text::GetBounding(std::vector<float> &vertices),42,38,22,5,4,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Text.cpp,Text::setText(const std::string &newText),5,5,3,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Text.cpp,Text::SetBorder(IDriver *driver),5,5,5,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Text.cpp,Text::SetGlowing(IDriver *driver),5,5,5,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Text.cpp,Text::RemoveBorder(),3,3,3,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Text.cpp,Text::GetTotalBorderSize(),14,14,8,7,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Text.cpp,Text::GetGlowSize(),10,10,6,5,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Text.cpp,Text::CalculateEdgeStart(),3,3,3,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Text.cpp,Text::CalculateAntialiasSize(),4,4,4,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Text.cpp,Text::IsLoaded(),2,2,2,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Word.cpp,Word::Word(),1,1,1,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Word.cpp,Word::~Word(),1,1,1,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts\Word.cpp,Word::AddCharacter(Character c),4,4,4,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\guis\Gui.cpp,"Gui::Gui(UiObject *parent, const Vector2 &position, const Vector2 &dimensions, Texture *texture, const int &selectedRow)",2,2,2,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\guis\Gui.cpp,Gui::~Gui(),3,3,3,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\guis\Gui.cpp,Gui::UpdateObject(),5,5,5,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\guis\RendererGuis.cpp,RendererGuis::RendererGuis(),1,1,1,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\guis\RendererGuis.cpp,RendererGuis::~RendererGuis(),4,3,3,0,1,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\guis\RendererGuis.cpp,"RendererGuis::Render(const Vector4 &clipPlane, const ICamera &camera)",14,11,7,2,3,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\guis\RendererGuis.cpp,"RendererGuis::PrepareRendering(const Vector4 &clipPlane, const ICamera &camera)",16,9,7,0,3,0,4,16,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\guis\RendererGuis.cpp,RendererGuis::RenderGui(Gui *object),31,22,15,1,5,0,4,18,
